CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100)
1,Male,19,15000,39
2,Male,21,35000,81
3,Female,20,86000,6
4,Female,23,59000,77
5,Female,31,38000,40
6,Female,22,58000,76
7,Female,35,31000,6
8,Female,23,84000,94
9,Male,64,97000,3
10,Female,30,98000,72
11,Male,67,7000,14
12,Female,35,93000,99
13,Female,58,80000,15
14,Female,24,91000,77
15,Male,37,19000,13
16,Male,22,51000,79
17,Female,35,29000,35
18,Male,20,89000,66
19,Male,52,20000,29
20,Female,35,62000,98
21,Male,35,96000,35
22,Male,25,4000,73
23,Female,46,42000,5
24,Male,31,71000,73
25,Female,54,67000,14
26,Male,29,52000,82
27,Female,45,68000,32
28,Male,35,78000,61
29,Female,40,18000,31
30,Female,23,20000,87
31,Male,60,39000,4
32,Female,21,34000,73
33,Male,53,59000,4
34,Male,18,62000,92
35,Female,49,91000,14
36,Female,21,95000,81
37,Female,42,14000,17
38,Female,30,62000,73
39,Female,36,9000,26
40,Female,20,69000,75
41,Female,65,25000,35
42,Male,24,85000,92
43,Male,48,22000,36
44,Female,31,33000,61
45,Female,49,72000,28
46,Female,24,3000,65
47,Female,50,52000,55
48,Female,27,71000,47
49,Female,29,78000,42
50,Female,31,25000,42
51,Female,49,88000,52
52,Male,33,97000,60
53,Female,31,74000,54
54,Male,59,68000,60
55,Female,50,18000,45
56,Male,47,95000,41
57,Female,51,71000,50
58,Male,69,8000,46
59,Female,27,57000,51
60,Male,53,89000,46
61,Male,70,84000,56
62,Male,19,50000,55
63,Female,67,50000,52
64,Female,54,48000,59
65,Male,63,63000,51
66,Male,18,9000,59
67,Female,43,3000,50
68,Female,68,82000,48
69,Male,19,81000,59
70,Female,32,97000,47
71,Male,70,91000,55
72,Female,47,9000,42
73,Female,60,44000,49
74,Female,60,10000,56
75,Male,59,89000,47
76,Male,26,49000,54
77,Female,45,67000,53
78,Male,40,99000,48
79,Female,23,97000,52
80,Female,49,98000,42
81,Male,57,52000,51
82,Male,38,61000,55
83,Male,67,120000,41
84,Female,46,34000,44
85,Female,21,24000,57
86,Male,48,31000,46
87,Female,55,11000,58
88,Female,22,55000,55
89,Female,34,76000,60
90,Female,50,56000,46
91,Female,68,46000,55
92,Male,18,36000,41
93,Male,48,88000,49
94,Female,40,31000,40
95,Female,32,24000,42
96,Male,24,80000,52
97,Female,47,2000,47
98,Female,27,67000,50
99,Male,48,58000,42
100,Male,20,80000,49
101,Female,23,65000,41
102,Female,49,4000,48
103,Male,67,98000,59
104,Male,26,52000,55
105,Male,49,86000,56
106,Female,21,82000,42
107,Female,66,43000,50
108,Male,54,78000,46
109,Male,68,13000,43
110,Male,66,13000,48
111,Male,65,34000,52
112,Female,19,25000,54
113,Female,38,71000,42
114,Male,19,2000,46
115,Female,18,97000,48
116,Female,19,51000,50
117,Female,63,9000,43
118,Female,49,79000,59
119,Female,51,84000,43
120,Female,50,87000,57
121,Male,27,36000,56
122,Female,38,50000,40
123,Female,40,97000,58
124,Male,39,6000,91
125,Female,23,12000,29
126,Female,31,46000,77
127,Male,43,89000,35
128,Male,40,4000,95
129,Male,59,38000,11
130,Male,38,64000,75
131,Male,47,66000,9
132,Male,39,26000,75
133,Female,25,41000,34
